Designator,Mid X,Mid Y,Layer,Rotation
C101,107.700000mm,-117.600000mm,Top,270
C102,111.100000mm,-116.800000mm,Top,0
C103,113.000000mm,-119.000000mm,Top,270
C104,115.425000mm,-116.200000mm,Top,90
C105,105.675000mm,-107.900000mm,Top,180
C106,117.725000mm,-115.300000mm,Top,180
C107,108.600000mm,-105.600000mm,Top,90
C108,96.400000mm,-110.400000mm,Top,270
C109,101.700000mm,-87.800000mm,Top,270
C110,93.000000mm,-78.000000mm,Top,90
C111,95.675000mm,-114.750000mm,Top,180
C112,102.000000mm,-78.000000mm,Top,90
C113,116.200000mm,-119.300000mm,Top,270
C114,120.000000mm,-116.100000mm,Top,270
C119,90.700000mm,-116.300000mm,Top,90
C120,105.918000mm,-113.284000mm,Top,90
D101,106.000000mm,-105.400000mm,Top,270
D102,118.364000mm,-107.950000mm,Top,180
D103,124.300000mm,-96.800000mm,Top,0
FID101,76.400000mm,-132.700000mm,Top,180
FID102,138.500000mm,-81.000000mm,Top,180
FID103,61.000000mm,-81.500000mm,Top,180
L101,79.900000mm,-100.300000mm,Top,90
Q101,101.100000mm,-112.450000mm,Top,270
Q102,101.100000mm,-105.100000mm,Top,270
R101,109.075000mm,-121.600000mm,Top,180
R102,109.600000mm,-119.100000mm,Top,270
R103,111.150000mm,-119.100000mm,Top,90
R104,117.725000mm,-117.000000mm,Top,180
R105,108.200000mm,-96.300000mm,Top,0
R106,93.800000mm,-111.200000mm,Top,180
R107,121.600000mm,-116.100000mm,Top,270
R108,114.600000mm,-119.300000mm,Top,270
R111,112.175000mm,-121.600000mm,Top,180
R112,107.400000mm,-100.076000mm,Top,270
R113,109.000000mm,-100.076000mm,Top,270
R114,111.400000mm,-100.100000mm,Top,270
R115,118.500000mm,-119.300000mm,Top,90
R116,120.100000mm,-119.300000mm,Top,90
R117,122.650000mm,-113.650000mm,Top,180
R118,122.650000mm,-110.250000mm,Top,0
R119,122.650000mm,-112.000000mm,Top,180
R120,118.200000mm,-104.000000mm,Top,90
R121,120.000000mm,-100.750000mm,Top,90
R123,120.000000mm,-104.000000mm,Top,90
U101,111.100000mm,-111.900000mm,Top,90
