Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0603_1608Metric",107.700000,-117.600000,270.000000,top
"C102","1.8p","C_0402_1005Metric",110.800000,-117.000000,0.000000,top
"C103","100n","C_0603_1608Metric",113.000000,-119.000000,270.000000,top
"C104","560p","C_0603_1608Metric",115.425000,-116.200000,90.000000,top
"C105","1u","C_0603_1608Metric",105.675000,-107.900000,180.000000,top
"C106","33p","C_0603_1608Metric",117.725000,-115.300000,180.000000,top
"C107","1u","C_0603_1608Metric",108.600000,-105.600000,90.000000,top
"C108","C_Small","C_0603_1608Metric",96.400000,-110.400000,270.000000,top
"C109","2u2","C_1210_3225Metric",101.700000,-87.800000,270.000000,top
"C110","100u","CP_Elec_6.3x7.7",100.400000,-59.300000,180.000000,top
"C111","2u2","C_1210_3225Metric",95.675000,-113.600000,180.000000,top
"C112","100u","CP_Elec_8x10",113.700000,-72.000000,0.000000,top
"C113","100u","CP_Elec_8x10",113.700000,-81.000000,0.000000,top
"C114","100u","CP_Elec_8x10",99.400000,-74.600000,180.000000,top
"C115","2u2","C_1210_3225Metric",105.100000,-87.800000,270.000000,top
"C116","2u2","C_1210_3225Metric",98.400000,-87.800000,270.000000,top
"C117","2u2","C_1210_3225Metric",108.400000,-87.800000,270.000000,top
"C118","100u","CP_Elec_8x10",90.400000,-81.300000,180.000000,top
"C119","10n","C_0603_1608Metric",90.700000,-116.300000,90.000000,top
"C120","2u2","C_1210_3225Metric",95.675000,-116.900000,180.000000,top
"C121","2u2","C_1210_3225Metric",105.700000,-113.300000,90.000000,top
"D101","BAS20","SOT-23",106.000000,-105.400000,270.000000,top
"D102","5V1","D_SOD-123",118.364000,-107.950000,180.000000,top
"D103","5V1","D_SOD-123",124.300000,-97.200000,0.000000,top
"FID101","Fiducial","Fiducial_0.5mm_Mask1mm",76.400000,-132.700000,180.000000,top
"FID102","Fiducial","Fiducial_0.5mm_Mask1mm",138.500000,-81.000000,180.000000,top
"FID103","Fiducial","Fiducial_0.5mm_Mask1mm",61.000000,-81.500000,180.000000,top
"L101","IND_7443640680_WURTH","WE-HCF",79.900000,-100.300000,90.000000,top
"Q101","BSC070N10NS5","TDSON-8-1",101.100000,-112.450000,270.000000,top
"Q102","BSC067N06LS3G","TDSON-8-1",101.100000,-105.100000,270.000000,top
"R101","18k","R_0603_1608Metric",109.075000,-121.300000,180.000000,top
"R103","9k1","R_0603_1608Metric",110.475000,-118.600000,0.000000,top
"R104","178k","R_0603_1608Metric",117.725000,-117.000000,180.000000,top
"R105","0R002","R_2512_6332Metric_SHUNT",105.800000,-96.500000,90.000000,top
"R106","R_Small","R_0603_1608Metric",93.800000,-111.200000,180.000000,top
"R107","1k2","R_0603_1608Metric",120.825000,-115.300000,0.000000,top
"R108","1k2","R_0603_1608Metric",115.900000,-119.900000,180.000000,top
"R111","1k2","R_0603_1608Metric",112.175000,-121.300000,180.000000,top
"R112","30k","R_0603_1608Metric",109.600000,-97.400000,0.000000,top
"R113","30k","R_0603_1608Metric",109.600000,-95.600000,0.000000,top
"R114","10k","R_0603_1608Metric",109.600000,-94.000000,0.000000,top
"R115","24k","R_0603_1608Metric",120.825000,-118.700000,180.000000,top
"R116","24k","R_0603_1608Metric",120.825000,-117.000000,180.000000,top
"R117","24k","R_0603_1608Metric",122.650000,-113.650000,180.000000,top
"R118","1k2","R_0603_1608Metric",122.650000,-110.250000,0.000000,top
"R119","24k","R_0603_1608Metric",122.650000,-112.000000,180.000000,top
"R120","24k","R_0603_1608Metric",118.200000,-104.000000,90.000000,top
"R121","1k2","R_0603_1608Metric",120.000000,-100.750000,90.000000,top
"R123","24k","R_0603_1608Metric",120.000000,-104.000000,90.000000,top
"U101","LM5116MH","Texas_PWP0020A",111.100000,-111.900000,90.000000,top
